nome_errado;nome_correto
MONZA;AC MONZA
ATH BILBAO;ATHLETIC BILBAO
CLUB LEON;LEON
SALFORD;SALFORD CITY
A. KLAGENFURT;AUSTRIA KLAGENFURT
SALZBURG;RED BULL SALZBURG
LEGIA;LEGIA WARSAW
ARZIGNANO;ARZIGNANOCHIAMPO
AS ROMA;ROMA
NAPREDAK;FK NAPREDAK
MLADOST;MLADOST LUCANI
KARLSRUHER SC;KARLSRUHE
MAASTRICHT;MVV MAASTRICHT
WIL;FC WIL
VADUZ;FC VADUZ
ATL. MADRID;ATLETICO MADRID
GUADALAJARA CHIVAS;GUADALAJARA
UTRECHT;FC UTRECHT
KRUMOVGRAD;LEVSKI KRUMOVGRAD
ATL. SAN LUIS;ATLETICO SAN LUIS
SANDHAUSEN;SV SANDHAUSEN
NORDSJAELLAND;FC NORDSJAELLAND
VIS PESARO;PESARO
TARANTO;TARANTO SPORT
MONTEROSI;NUOVA MONTEROSI
CERCLE BRUGGE KSV;CERCLE BRUGGE
LEUVEN;OUD-HEVERLEE LEUVEN
ST. TRUIDEN;SINT TRUIDEN
FK PARDUBICE;PARDUBICE
ZURICH;FC ZURICH
PINETO;ASD PINETO CALCIO
FORTALEZA;FORTALEZA FC
ROGASKA;NK ROGASKA
SHONAN BELLMARE;SHONAN
KASHIMA ANTLERS;KASHIMA
CELJE;NK CELJE
MARIBOR;NK MARIBOR
COQUIMBO;COQUIMBO UNIDO
ANSAN GREENERS;ANSAN GREENERS FC
BUSAN;BUSAN IPARK
CHEONGJU;CHEONGJU FC
POHANG;POHANG STEELERS
NEW ENGLAND REVOLUTION;NEW ENGLAND
CRAWLEY;CRAWLEY TOWN
VILLEFRANCHE;VILLEFRANCHE BEAUJOLAIS
LA GUAIRA;DEPORTIVO LA GUAIRA
ESTUDIANTES MERIDA;ESTUDIANTES DE MERIDA
CUMBAYA;CUMBAYA FC
BRADFORD CITY;BRADFORD
CISERANO-BERGAMO;VIRTUS CISERANO BERGAMO
FC HALIFAX;FC HALIFAX TOWN
VEGALTA SENDAI;SENDAI
OITA TRINITA;OITA
MONTEDIO YAMAGATA;YAMAGATA
BLAUBLITZ;BLAUBLITZ AKITA
CHIBA;JEF UTD CHIBA
DEP. CUENCA;DEPORTIVO CUENCA
SESTRI LEVANTE;USD SESTRI LEVANTE 1919
PATRIOTAS;BOYACA PATRIOTAS
ATHLONE;ATHLONE TOWN
BRAY;BRAY WANDERERS
HARROGATE;HARROGATE TOWN
NEWRY CITY;NEWRY
FC CARTAGENA SAD;FC CARTAGENA
SUTTON;SUTTON UTD
NACIONAL;NACIONAL (URU)
JUAREZ;FC JUAREZ
BURTON;BURTON ALBION
VIRTUS FRANCAVILLA;US FRANCAVILLA
PICERNO;AZ PICERNO ASD
GIUGLIANO;FC GIUGLIANO
DEPORTES TOLIMA;TOLIMA
STOCKPORT COUNTY;STOCKPORT
TORRES;SASSARI TORRES
ELGIN CITY;ELGIN CITY FC
CAERNARFON;CAERNARFON TOWN
RODA;RODA JC
DAG & RED;DAG AND RED
IMBABURA;IMBABURA SPORTING CLUB
CHARLOTTE;CHARLOTTE FC
CAMBUUR;CAMBUUR LEEUWARDEN
CARABOBO;CARABOBO FC
TRENTO;A.C. TRENTO S.C.S.D.
CASARANO;S.S.D. CASARANO CALCIO
CA CERRO;CERRO
BRUSAPORTO;ASD CALCIO BRUSAPORTO
CALCIO CHIETI;CHIETI
V-VAREN NAGASAKI;NAGASAKI
R. OVIEDO B;REAL OVIEDO II
GLADIATOR;ASD GLADIATOR 1924
TRASTEVERE CALCIO;ASD TRASTEVERE CALCIO
BUCARAMANGA;ATLETICO BUCARAMANGA
KUSATSU;THESPAKUSATSU GUNMA
IWAKI;IWAKI SC
ATL. NACIONAL;ATLETICO NACIONAL
TURRIS;AP TURRIS CALCIO
SHIMIZU S-PULSE;SHIMIZU
ANGOSTURA;ANGOSTURA FC
VERSAILLES;VERSAILLES 78 FC
CITTA DI FASANO;USD CITTA DI FASANO
SAN DONATO;ASD SAN DONATO TAVARNELLE
SC CENAIA;SC CENAIA 1969
TAU;ASD TAU CALCIO ALTOPASCIO
GALLIPOLI;ASD CITTA DI GALLIPOLI
S. N. NOTARESCO;SAN NICOLO NOTARESCO
FANO;ALMA JUVENTUS FANO
BRA;AC BRA
DEP. TACHIRA;DEPORTIVO TACHIRA
PRO PALAZZOLO;FC PRO PALAZZOLO
PORTICI 1906;ASD PORTICI 1906
SAN LUCA;ASD SAN LUCA
KERRY;KERRY FC
IMT NOVI BEOGRAD;FK IMT NOVI BEOGRAD
CLUB BRUGGE KV U23;CLUB BRUGGE B
FLEETWOOD;FLEETWOOD TOWN
SHEFFIELD WED;SHEFF WED
CADIZ CF;CADIZ
DEN HAAG;ADO DEN HAAG
AL ETTIFAQ;AL-ETTIFAQ
RADNIK;RADNIK SURDULICA
VENLO;VVV VENLO
TELSTAR;SC TELSTAR
HELMOND;HELMOND SPORT
FC EMMEN;EMMEN
EINDHOVEN FC;FC EINDHOVEN
EBBSFLEET;EBBSFLEET UTD
RIED;SV RIED
LEOBEN;DSV LEOBEN
ST. POLTEN;ST POLTEN
CERRO LARGO;CERRO LARGO FC
DORKING;DORKING WANDERERS
SHENZHEN XINPENGCHENG;SHENZHEN PENG CITY
BURGOS CF;BURGOS
